Components ,Quantity,Price ( dh),Description,,LINK
2804 100KV Brushless Motors,2,345.42,Actuators,,https://www.aliexpress.com/item/1005012203438661.html?spm=a2g0o.productlist.0.0.11ee26cdiME4i7&mp=1
FOC custom pcb ,1,1130.99,Pcb 5 pcba 2 ,,jlcpcb.com
AS5048A,2,194,Magnetic Encoders magnet included,,https://www.aliexpress.com/item/1005009516781005.html?spm=a2g0o.cart.0.0.5d5d378dXW3cyR&mp=1
MPU9250 ,1,OWNED,IMU,,
IMX 219,1,154.29,Camera,,https://www.aliexpress.com/item/1005003774526287.html?spm=a2g0o.cart.0.0.5d5d378dXW3cyR&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
 AMG8833,1,218,Thermal camera,,https://www.aliexpress.com/item/1005001852981269.html?spm=a2g0o.cart.0.0.5d5d378dXW3cyR&mp=1
Raspberry Pi Zero 2 W,1,"280,00",Receive camera feeds,,https://aytoo.ma/produit/raspberry-pi-zero-2-w/
Slip ring,1,87.83,12 Wire slip ring ,,https://www.aliexpress.com/item/4000982871775.html?spm=a2g0o.cart.0.0.5d5d378dXW3cyR&mp=1
custom chassis,1,296.03,Metal 3d printed yoke,,jlc3dp
3d print shipping fee ,1,300,3d printing legion fee ,,printing LEGION
M2/M2.5/M3  screws kit ,1,112.96,m2 m2.5 m3 screws 4/5/6/8mm pitch ,,https://www.aliexpress.com/item/1005010777076859.html?spm=a2g0o.cart.0.0.5d5d378dXW3cyR&mp=1
JST-XH,5,33.6,Connectors,,https://www.aliexpress.com/item/1005007389108799.html?spm=a2g0o.cart.0.0.5d5d378dXW3cyR&mp=1
,,,,,
,,,,,
,,"TOTAL : 3,153.12dh (341.8$)",,,
