,,,,,,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
C1,,10uF,C0805,,Select by Customer,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15850,https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850,Basic,20,20 JLCPCB,1.532
C2,,47uF,C1206,,Select by Customer,CL31A476MPHNNNE,Samsung Electro-Mechanics,1206,10V 47uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C96123,https://jlcpcb.com/partdetail/97327-CL31A476MPHNNNE/C96123,Basic,6,6 JLCPCB,1.1352
C3,,22uF,C0805,,Select by Customer,CL21A226MAQNNNE,Samsung Electro-Mechanics,0805,22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C45783,https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783,Basic,10,10 JLCPCB,1.174
"C4,C5",,1000uF,CAP-TH_BD10.0-P5.00-D1.0-FD,,Select by System,ERR1VM102G20OT,AISHI(Aihua Group),"??,D10xL20mm","1000uF 10mm 2000hrs@105? 20mm 35V 5mm ±20% ??,D10xL20mm Aluminum Electrolytic Capacitors - Leaded ROHS",Aluminum Electrolytic Capacitors - Leaded,,C398835,https://jlcpcb.com/partdetail/AISHI_Aihua_Group-ERR1VM102G20OT/C398835,Extended,0,0 JLCPCB,0
"C6,C7",,18pF,C0603,,Select by Customer,CL10C180JB8NNNC,Samsung Electro-Mechanics,0603,18pF 50V C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1647,https://jlcpcb.com/partdetail/1999-CL10C180JB8NNNC/C1647,Basic,20,20 JLCPCB,0.194
"C8,C9,C10,C12,C13,C14,C15,C16,C17,C32,C33",,100nF,C0805,,Select by Customer,CL21B104KCFNNNE,Samsung Electro-Mechanics,0805,100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C28233,https://jlcpcb.com/partdetail/28983-CL21B104KCFNNNE/C28233,Basic,32,32 JLCPCB,0.9664
"C24,C29,C30,C31",,1uF,C0402,,Select by Customer,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,20,20 JLCPCB,0.312
"C25,C26",,2.2uF,C0201,,Select by Customer,CL05A225MQ5NSNC,Samsung Electro-Mechanics,0402,2.2uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C12530,https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530,Basic,20,20 JLCPCB,0.154
C27,,10nF,C0603,,Select by Customer,0603B103K500NT,FH (Guangdong Fenghua Advanced Tech),0603,10nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C57112,https://jlcpcb.com/partdetail/58143-0603B103K500NT/C57112,Basic,20,20 JLCPCB,0.564
C28,,3.3nF,C0603,,Select by Customer,CL10B332KB8NNNC,Samsung Electro-Mechanics,0603,3.3nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1613,https://jlcpcb.com/partdetail/1965-CL10B332KB8NNNC/C1613,Basic,20,20 JLCPCB,0.172
D1,,B340A,SMA_L4.3-W2.6-LS5.0-RD,,Select by System,B340A,hongjiacheng,SMA,-55?~+150? 1 Independent 100A 3A 40V 50uA@40V 550mV@3A SMA Schottky Diodes ROHS,Schottky Diodes,,C48642440,https://jlcpcb.com/partdetail/hongjiacheng-B340A/C48642440,Extended,6,6 JLCPCB,0.3456
H1,,PZ254V-11-04P,HDR-TH_4P-P2.54-V-M,,Select by System,PZ254V-11-04P,XFCN,"??,P=2.54mm","-40?~+105? 1 1x4P 2.54mm 2.5mm 250V 3A 3mm 4P 6mm Black Pin Header Through Hole ??,P=2.54mm Pin Headers ROHS",Pin Headers,,C2691448,https://jlcpcb.com/partdetail/XFCN-PZ254V_1104P/C2691448,Extended,0,0 JLCPCB,0
"H4,H5",,254PZ-1x3P-V,HDR-TH_3P-P2.54-V-M,,Select by System,254PZ-1x3P-V,LXWCONN,"??,P=2.54mm","1 1x3P 2.54mm Pin Header Through Hole ??,P=2.54mm Pin Headers ROHS",,,C53055673,https://jlcpcb.com/partdetail/LXWCONN-254PZ_1x3PV/C53055673,Extended,0,0 JLCPCB,0
L1,,2.2uH,IND-SMD_L2.5-W2.0_MHCHL2520,,Select by System,FTC252012S2R2MBCA,cjiang (Changjiang Microelectronics Tech),1008,2.2uH 3.8A 3A 55m? ±20% 1008 Power Inductors ROHS,Power Inductors,,C5832372,https://jlcpcb.com/partdetail/6763492-FTC252012S2R2MBCA/C5832372,Extended,6,6 JLCPCB,0.204
L2,,HCB2012KV-600T30,L0805,,Select by Customer,GZ2012D101TF,Sunlord,0805,1 100?@100MHz 150m? 800mA ±25% 0805 Ferrite Beads ROHS,Ferrite Beads,,C1015,https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015,Basic,20,20 JLCPCB,0.616
"R1,R2,R18,R19",,50m?,RES-SMD_L6.4-W3.2-R2512,,Select by System,RE2512F3R050,jieerrui,2512,3W 50m? Alloy Resistor?Current Sense Resistor SMD ±1% ±50ppm/? 2512 Current Sense Resistors / Shunt Resistors ROHS,Current Sense Resistors / Shunt Resistors,,C46961759,https://jlcpcb.com/partdetail/jieerrui-RE2512F3R050/C46961759,Extended,10,10 JLCPCB,0.991
"R3,R6,R9,R17,R20",,10k?,R0805,,Select by Customer,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 10k? 125mW 150V Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,22,22 JLCPCB,0.0748
R7FBB,,10k?,R0603,,Select by Customer,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 10k? 125mW 150V Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,22,22 JLCPCB,0.0748
"R4,R5",,22?,R0603,,Select by Customer,0603WAF220JT5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 22? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23345,https://jlcpcb.com/partdetail/24078-0603WAF220JT5E/C23345,Basic,20,20 JLCPCB,0.034
"R7,R8",,5.1k?,R0603,,Select by Customer,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 5.1k? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23186,https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186,Basic,20,20 JLCPCB,0.038
"R10,R11,R13,R14,R15,R16",,47?,R0603,,Select by Customer,0603WAF470JT5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 47? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23182,https://jlcpcb.com/partdetail/23909-0603WAF470JT5E/C23182,Basic,22,22 JLCPCB,0.0506
R21,,0?,R0603,,Select by Customer,0603WAF0000T5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 0? 100mW 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C21189,https://jlcpcb.com/partdetail/21903-0603WAF0000T5E/C21189,Basic,20,20 JLCPCB,0.036
